question_id,label,reason
77,mentions_figure_answerable,The clinical presentation of 2nd and 3rd MCP joint arthropathy along with laboratory evidence of hemochromatosis (elevated transferrin saturation and ferritin) is sufficient to identify calcium pyrophosphate (CPP) crystal deposition without needing the radiograph.
78,no_figure,The question describes radiographic findings directly in the text without referencing any external image or exhibit.
79,no_figure,The question contains all necessary clinical and diagnostic details in the text and does not refer to any external figure or image.
80,no_figure,The question does not refer to any image or exhibit and can be answered based on the provided clinical vignette alone.
81,no_figure,The question contains all necessary clinical and genetic details in the text without referring to any images or exhibits.
82,no_figure,The question does not reference any images or external exhibits.
83,no_figure,The question contains all clinical information and laboratory values in text form without referencing any figures or exhibits.
84,no_figure,"The question does not refer to any image, figure, or exhibit."
85,no_figure,"The question does not refer to any figures, images, or external exhibits."
86,no_figure,The question contains all clinical information within the text and does not mention or rely on any external figures or exhibits.
87,no_figure,The question contains all necessary clinical and laboratory information directly in the text and does not refer to any external figure or image.
88,no_figure,The question fully describes the chest x-ray findings in the text and does not reference an external image or exhibit.
89,no_figure,The question contains all clinical information in the text and makes no reference to an image or exhibit.
90,no_figure,The question contains all necessary clinical and diagnostic details in the text without referencing any figures or images.
91,no_figure,The question contains all necessary clinical details in text form and does not refer to any external figures or exhibits.
92,no_figure,The question contains all necessary clinical information in the text and does not mention or rely on any figures or exhibits.
93,no_figure,The question contains all clinical information in the text and does not mention or rely on any figures or exhibits.
94,no_figure,The question presents a complete clinical scenario without referencing any figures or images.
95,mentions_figure_answerable,"The clinical history of familial early-onset kidney failure, refractory hypertension, elevated creatinine, and bilateral palpable flank masses clearly diagnoses autosomal dominant polycystic kidney disease, making MR angiography of the brain identifiable as the screening test for intracranial aneurysms without needing to see the ultrasound."
96,no_figure,The question contains all necessary clinical details in the text and does not mention or require any images or exhibits.
97,no_figure,The question contains all necessary clinical and diagnostic details in the text and does not mention or require an image.
98,no_figure,The question presents a clinical scenario with all necessary details in text and does not reference any figure or exhibit.
99,no_figure,The question contains all necessary clinical information in the text and does not reference any image or exhibit.
100,no_figure,The question presents all clinical details and laboratory values entirely in the text without referring to any images or exhibits.
101,no_figure,The question contains all necessary clinical information to identify the prescribed drug and does not reference any figure or exhibit.
102,no_figure,The question contains all necessary clinical information in the text and makes no reference to any image or exhibit.
103,no_figure,The question presents all clinical findings and laboratory data directly in the text and does not reference any external images or exhibits.
104,no_figure,The question contains all necessary clinical information in the text and makes no reference to any external image or exhibit.
105,no_figure,The question contains all necessary clinical information to diagnose the condition without referencing any figures or exhibits.
106,no_figure,The question contains all necessary clinical and radiologic descriptions directly in the text without referencing any figures or exhibits.
107,no_figure,The question contains all necessary clinical and genetic details in the text and does not refer to any external figure or exhibit.
108,no_figure,The question presents a complete clinical vignette of slipped capital femoral epiphysis without referencing any exhibits or images.
109,no_figure,The question contains all necessary clinical details in text and does not mention or rely on any exhibits.
110,no_figure,The question contains all clinical information and laboratory values within the text and does not mention or rely on any figures.
111,mentions_figure_answerable,"The clinical presentation of barking cough, hoarseness, and inspiratory stridor in an 18-month-old clearly diagnoses croup, which is managed with racemic epinephrine and corticosteroids without needing the X-ray image."
112,no_figure,The question contains all necessary clinical details in text and does not reference any figure or exhibit.
113,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or images.
114,no_figure,All lab values and clinical information are provided directly in the text without referencing any external image or exhibit.
115,no_figure,The question contains all necessary information in the text and does not reference any figure or exhibit.
116,mentions_figure_answerable,"The clinical features of seizures, cognitive delay, a cardiac murmur suggestive of rhabdomyoma, and bilateral calcified multinodular retinal lesions (astrocytic hamartomas) diagnostic of tuberous sclerosis allow identification of a TSC1 gene mutation without the skin photograph."
117,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any external image or exhibit.
118,no_figure,The question contains all necessary clinical and pulmonary function test data directly within the text without referring to any images or exhibits.
119,no_figure,The question contains all necessary clinical information and findings in the text without referencing any figures or exhibits.
120,no_figure,The question contains all necessary clinical information in the text and does not refer to any image or exhibit.
121,no_figure,The question contains all necessary clinical information to identify the virus associated with Hodgkin's lymphoma and does not reference any figure or exhibit.
122,no_figure,"The question presents a complete clinical vignette with ultrasound findings described in the text, without referencing an actual image."
123,mentions_figure_answerable,"Although a CT head image is referenced, the clinical vignette of stroke-like symptoms, recurrent miscarriages, and an isolated prolonged PTT provides sufficient information to identify antiphospholipid antibody syndrome and select a mixing study as the next diagnostic step."
124,no_figure,The question contains all necessary information to determine the clinical features of congenital hypothyroidism without referencing any figures or exhibits.
125,no_figure,"The question does not refer to any image or exhibit, and all findings are described directly in the text."
126,mentions_figure_answerable,"The clinical presentation of an ipsilateral fixed dilated pupil, contralateral hemiparesis, and altered consciousness following head trauma while on anticoagulation is classic for uncal herniation, making the CT scan unnecessary to answer the question."
127,no_figure,The question contains all necessary clinical and immunologic details within the text and does not reference any image or exhibit.
128,no_figure,The question presents a complete clinical vignette with laboratory results and does not mention or rely on any exhibits or images.
129,no_figure,The question contains all necessary clinical information to identify botulism without referring to any images or exhibits.
130,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or images.
131,no_figure,The question presents a complete clinical scenario of postoperative hypocalcemia and asks for the expected ECG finding without referencing any images or exhibits.
132,no_figure,The question presents all clinical and laboratory data in the text without referencing any figures or images.
133,no_figure,The question contains all clinical information needed to diagnose Leriche syndrome (aortoiliac atherosclerosis) and does not reference any figure or exhibit.
134,no_figure,The question contains all necessary clinical information in the text and does not refer to any external figure or exhibit.
135,no_figure,The question contains all necessary information within the text and does not mention or rely on any external figures or exhibits.
136,no_figure,The question contains all necessary clinical details in the text and does not refer to any external figure or exhibit.
137,no_figure,The question describes the CT findings directly in the text without referring to any external image or exhibit.
138,no_figure,The question contains all necessary clinical information in the text and does not reference any external images or exhibits.
139,requires_figure,The question relies on identifying the specific region of the spinal cord indicated by the arrow to determine the corresponding neurological deficit.
140,mentions_figure_answerable,"Although an accompanying photograph of the rash is mentioned, the clinical history of a tick bite followed by rash and systemic symptoms in a pregnant woman provides sufficient information to determine the appropriate treatment for Lyme disease."
141,no_figure,The question contains all clinical and laboratory information in the text without referencing any external image or exhibit.
142,no_figure,The question contains all necessary clinical and pharmacological details within the text and makes no reference to any images or exhibits.
143,no_figure,"The question fully describes the clinical, imaging, and biopsy findings in the text without referencing any external image or exhibit."
144,no_figure,The question describes the x-ray findings directly in the text without referencing any external image or exhibit.
145,no_figure,The question contains all necessary clinical and laboratory information in the text without referring to any images or exhibits.
146,mentions_figure_answerable,"The clinical description of steroid-refractory dermatitis with scaly patches, plaques, erythroderma, and a cutaneous tumor (>1 cm) is sufficient to identify mycosis fungoides (a cutaneous T-cell lymphoma) without needing the image."
147,no_figure,"The question presents a complete clinical scenario without referring to any images, tables, or other exhibits."
148,no_figure,The question contains all necessary clinical details in the text and does not reference any figure or exhibit.
149,no_figure,The question does not mention or rely on any images or exhibits.
150,no_figure,The question describes the chest X-ray findings directly in the text without referring to any external figure or image.
151,no_figure,The question describes the ultrasound findings entirely within the text without referencing an external image or exhibit.
152,no_figure,The question contains all necessary clinical and microbiological details in the text without referencing any figures or exhibits.
153,no_figure,"The question contains a complete clinical vignette with no references to any figures, images, or exhibits."
154,no_figure,The question contains all necessary clinical information in the text and does not mention or refer to any figure or exhibit.
155,no_figure,The question presents all clinical details purely in text without referencing any figures or external exhibits.
156,no_figure,The question contains all necessary clinical information to diagnose acute dystonia and select the appropriate treatment without referencing any figures or exhibits.
157,no_figure,The question contains all necessary clinical and genetic details in the text and does not mention or rely on any images or figures.
158,no_figure,The question contains all necessary clinical information and laboratory results directly in the text without referring to any images or exhibits.
159,no_figure,The question contains all necessary clinical and laboratory information in the text with no mention of an image or figure.
160,requires_figure,"The question asks to identify a numbered zone on an unspecified histology slide, making it impossible to answer without viewing the image."
161,no_figure,The question contains all necessary clinical details in text format and does not refer to any figures or exhibits.
162,no_figure,The question contains all necessary clinical information in the text and does not mention or rely on any exhibits or images.
163,no_figure,The question contains all necessary clinical information in the text without referencing any figures or exhibits.
164,no_figure,The question contains all necessary clinical information to identify herpes zoster without referencing any external image or exhibit.
165,no_figure,"The question is entirely text-based and contains no references to any figures, images, or exhibits."
166,no_figure,The question describes the chest radiograph findings within the text without referencing any external image or exhibit.
167,no_figure,"The question presents all clinical, ECG, and echocardiographic findings directly in text without referring to any images or exhibits."
168,no_figure,The question presents a full clinical vignette without any reference to an external image or exhibit.
169,no_figure,The question contains all necessary clinical details in text and does not mention or rely on any exhibits.
170,no_figure,The question contains all necessary clinical information in text and does not mention or require any figure or exhibit.
171,no_figure,The question describes the ultrasound findings entirely within the text without referencing any separate image or exhibit.
172,no_figure,The question presents a complete clinical scenario without any reference to an image or exhibit.
173,no_figure,The question contains all necessary clinical information in the text and does not refer to any image or exhibit.
174,no_figure,The question contains all necessary information in the text and does not reference any figure or exhibit.
175,no_figure,The clinical vignette provides all necessary information to diagnose tension pneumothorax and determine the next step in management without referencing any figures or exhibits.
176,no_figure,The question presents all necessary data within the text to calculate specificity without referring to any images or exhibits.
177,no_figure,The question contains all clinical information in the text and does not mention or rely on any exhibits or images.
178,no_figure,The question describes the MRI findings directly in the text without referencing an external image or exhibit.
179,no_figure,The question contains all necessary clinical and diagnostic details in the text without referring to any images or exhibits.
180,no_figure,The question contains all necessary clinical information and laboratory findings within the text without referencing any figures or images.
181,no_figure,The question contains all necessary clinical information to identify the causal virus and does not refer to any external figure or exhibit.
182,no_figure,"The question does not reference any images, figures, or external exhibits."
183,no_figure,The question contains all necessary clinical details in the text and does not mention or rely on any images or exhibits.
184,no_figure,The question contains all necessary clinical details in text format and does not reference any image or exhibit.
185,no_figure,"The question contains no references to any images, exhibits, or figures."
186,no_figure,The question is entirely self-contained text describing an experimental scenario with no reference to any figures or exhibits.
187,no_figure,The question contains all necessary clinical details and does not mention or rely on any exhibits or images.
188,no_figure,The question describes the X-ray findings directly in the text without referencing any external image or exhibit.
189,no_figure,The question contains all necessary clinical information in the text and does not mention or rely on any exhibits or images.
190,no_figure,The question contains all necessary clinical information to identify the diagnosis and appropriate long-term pharmacotherapy without referencing any exhibits.
191,no_figure,The question describes x-ray findings within the text without referencing any external image or exhibit.
192,no_figure,"The question refers to a preceding text summary rather than an image or graphical exhibit, and the provided text contains all information needed to identify effect modification."
193,no_figure,The question contains all necessary information in the text and does not reference any figure or exhibit.
194,no_figure,The question contains all necessary clinical and peripheral blood smear findings described directly in the text without referencing any external image or exhibit.
195,no_figure,"The question is entirely text-based and contains no references to any figures, images, or exhibits."
196,no_figure,The question contains all necessary information in the text without referencing any images or figures.
197,no_figure,All relevant laboratory values are provided directly within the text of the question without referencing any external figures or exhibits.
198,no_figure,The question contains all necessary clinical information in the text without referencing any images or external exhibits.
199,no_figure,The question contains only text describing ultrasound and voiding cystourethrography findings without referencing any external image or exhibit.
200,no_figure,The question contains all necessary clinical details in the text and does not refer to any external figures or exhibits.
201,no_figure,The question contains all necessary clinical information in the text and does not mention or require an image.
202,no_figure,The question contains all necessary clinical and diagnostic details in the text and does not reference any image or exhibit.
203,no_figure,The question contains all necessary clinical details in the text and does not refer to any external image or exhibit.
204,no_figure,"The question mentions an imaging study in the clinical history, but does not reference an exhibit or require viewing an image to answer."
205,mentions_figure_answerable,"The question mentions Figures A, B, and C, but the diagnosis of a Grade V splenic laceration and subsequent splenectomy are explicitly stated in the text, allowing the required post-splenectomy vaccines to be identified without the images."
206,no_figure,The question does not reference any image or exhibit and can be answered using standard genetics knowledge regarding LOD scores.
207,no_figure,"The question does not refer to any figures, images, or external exhibits."
208,no_figure,The question contains all necessary information and does not reference any external images or exhibits.
209,no_figure,The question contains all necessary clinical information in the text without referring to any image or exhibit.
210,no_figure,The question relies purely on text-based biochemical knowledge of the cell cycle and does not mention or require an external image or figure.
211,no_figure,"The question does not refer to any image, figure, or exhibit in its text."
212,no_figure,The question presents a scenario evaluating study design methodologies without referencing or requiring any figures or exhibits.
213,no_figure,The question describes the ultrasound findings entirely within the text and does not refer to any external image or exhibit.
214,no_figure,The question contains all necessary clinical information in the text and does not mention or require any figure or exhibit.
215,no_figure,"The question does not reference any image, figure, or exhibit and can be evaluated solely on its text."
216,no_figure,The question contains all clinical information and laboratory findings within the text without referencing any figures or external exhibits.
217,no_figure,The question contains all necessary clinical and ultrasound findings in the text without referring to any images or exhibits.
218,no_figure,The question contains all necessary clinical details and does not reference any figure or image.
219,no_figure,The question contains all necessary clinical information and does not refer to any image or exhibit.
220,mentions_figure_answerable,"The clinical history of amiodarone use presenting with chronic dry cough, dyspnea, and bibasilar crackles is sufficient to identify amiodarone-induced pulmonary toxicity and its characteristic restrictive spirometry pattern without viewing the chest radiograph."
221,no_figure,The question contains all necessary clinical details in text and does not reference any figure or exhibit.
222,no_figure,The question contains all necessary clinical information in text form and makes no reference to any images or exhibits.
223,no_figure,The question presents a complete clinical scenario without referencing any figures or images.
224,no_figure,The question contains all necessary clinical information to identify the virus and its mode of transmission without referencing any figures or images.
225,no_figure,The question contains all necessary clinical and biopsy findings in the text without referencing any figures or exhibits.
226,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or exhibits.
227,no_figure,The question presents all clinical information and laboratory values entirely in text without referencing any figures or images.
228,no_figure,The question contains all clinical and laboratory information in the text without referencing any figures or images.
229,no_figure,The question contains all necessary clinical and laboratory information entirely within the text without referring to any external figure or image.
230,no_figure,The question contains all clinical and chest X-ray findings directly in the text without referencing an external image.
231,no_figure,The question contains all necessary clinical information to identify the causal organism without referencing any figures or images.
232,mentions_figure_answerable,"Although an abdominal ultrasound is mentioned, the clinical features of fever, tender hepatomegaly in a diabetic patient, and negative Entamoeba testing clearly indicate a pyogenic liver abscess treated with antibiotics and drainage."
233,mentions_figure_answerable,"Although the question refers to an image, the clinical presentation of thickened skin lesions, loss of peripheral sensation in an immigrant from India, and question about bacterial properties uniquely identifies leprosy caused by acid-fast bacteria."
234,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or exhibits.
235,no_figure,The question contains all necessary serologic laboratory values within the text and does not refer to any external figure or exhibit.
236,no_figure,The question presents a complete clinical vignette describing xeroderma pigmentosum without referencing any external figures or exhibits.
237,no_figure,The question contains all necessary clinical details in text and does not mention or rely on any exhibits or images.
238,no_figure,The question contains all necessary information in text form and does not reference any figure or exhibit.
239,no_figure,The question contains all clinical information in the text and makes no reference to any external image or exhibit.
240,no_figure,The question contains all necessary clinical details and the confirmed diagnosis in the text without referencing any external image or exhibit.
241,no_figure,"The question does not refer to any image, exhibit, or figure and can be answered using the clinical vignette alone."
242,no_figure,The question contains all necessary clinical information in the text and does not mention or rely on any exhibits.
243,no_figure,"The question contains all necessary clinical information in the text and makes no reference to any figures, images, or exhibits."
244,no_figure,The question describes the histochemical findings entirely in the text without referencing any images or exhibits.
245,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or external exhibits.
246,no_figure,"The question does not reference any images, tables, or external exhibits."
247,no_figure,The question contains all necessary clinical details in the text without any mention of or reliance on an external image or exhibit.
248,no_figure,The question contains no references to any images or exhibits and can be answered entirely from the provided text.
249,no_figure,The question contains all necessary epidemiological data within the text and does not refer to any external figure or exhibit.
250,no_figure,"The question contains no reference to any image, exhibit, or figure."
251,mentions_figure_answerable,"The clinical presentation of urinary hesitancy, nocturia, and an enlarged prostate is sufficient to diagnose benign prostatic hyperplasia and identify finasteride as the appropriate treatment without viewing the ultrasound image."
252,no_figure,The question contains all necessary clinical details in text format and does not mention or require any figure or exhibit.
253,no_figure,The question contains all clinical information in the text and does not mention or require any figure or exhibit.
254,no_figure,The question describes the CT scan findings entirely in the text without referencing any external image or exhibit.
255,no_figure,The question asks what a blood smear would theoretically be expected to show based on the patient's genetic mutation without referencing any actual image or exhibit.
256,requires_figure,"The lesion on the scalp is only presented in an image with no textual description, making it impossible to differentiate among the listed skin conditions without the figure."
257,no_figure,The question contains all clinical and laboratory details directly within the text and does not refer to any external figure or image.
258,no_figure,The question contains all clinical and imaging findings described purely in text without referencing any external image or exhibit.
259,no_figure,The question contains all necessary clinical information in the text without referencing any figures or exhibits.
260,no_figure,The question presents a purely text-based clinical scenario with laboratory values and does not reference any external images or exhibits.
261,no_figure,The question contains all necessary clinical details in text form and does not reference any figure or exhibit.
262,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or images.
263,no_figure,The question contains all necessary clinical details in text and does not mention or require an image.
264,mentions_figure_answerable,"Although Image A (a chest x-ray) is mentioned, the patient's severe hypoxemia with normal PCWP following trauma and massive transfusion clearly points to ARDS (diffuse alveolar damage) without needing to view the radiograph."
265,no_figure,The question describes the imaging findings textually and does not reference any external image or exhibit.
266,no_figure,The question contains all necessary clinical details in the text and does not reference any external images or exhibits.
267,no_figure,The question contains all necessary information about the mode of inheritance within the text and makes no reference to any figures.
268,no_figure,The question presents all clinical information in the text with no references to any external images or exhibits.
269,no_figure,The question contains all necessary clinical information in the text and does not mention or rely on any exhibits.
270,mentions_figure_answerable,"Although an MRI (Figure 1) is mentioned, the classic clinical presentation of multiple sclerosis (young female with episodes separated in time and space, including internuclear ophthalmoplegia) is sufficient to identify oligoclonal bands as the expected CSF finding."
271,no_figure,The question contains all necessary clinical and laboratory information in the text and does not refer to any external figure or exhibit.
272,no_figure,The question contains all necessary clinical and genetic details in the text without referencing any figures or exhibits.
273,no_figure,The question contains all necessary clinical details in text and does not mention or require an image or figure.
274,mentions_figure_answerable,"Although an image is referenced, the comprehensive clinical and histopathological description of a rapidly growing, dome-shaped nodule with a central keratin-filled crater is sufficient to diagnose keratoacanthoma."
275,no_figure,"The question contains no reference to any figures, images, or exhibits and can be answered using the provided text alone."
276,no_figure,The question contains all clinical information and laboratory results directly in the text without referring to any images or exhibits.
277,no_figure,The question describes all relevant clinical and renal biopsy findings in the text without referencing any figures or exhibits.
278,no_figure,The question presents a complete clinical scenario without referencing any figures or images.
279,no_figure,The findings of the chest x-ray are described directly in the text without referencing an external image or exhibit.
280,no_figure,The question is completely self-contained in text and does not mention or rely on any exhibits.
281,no_figure,The question contains all necessary clinical and biopsy findings within the text and does not refer to any external image or exhibit.
282,no_figure,The question presents a clinical vignette without referencing any images or external exhibits.
283,no_figure,The question describes the chest X-ray findings directly in the text without referencing an external image or exhibit.
284,requires_figure,The question relies on a cardiac physiology curve depicted with a dashed line to identify the specific medication given for heart failure.
285,no_figure,The question contains all clinical information in text and does not mention or rely on any exhibits.
286,no_figure,The question contains all necessary clinical details in text and does not reference any image or exhibit.
287,no_figure,The question contains all clinical information in the text and does not reference any figure or exhibit.
288,no_figure,The question describes the MRI findings directly in the text without referencing any image or exhibit.
289,no_figure,The question contains all necessary clinical details directly in the text and does not mention or require an image.
290,no_figure,"The question presents all necessary data and clinical study details entirely within the text, with no reference to an external figure or exhibit."
291,no_figure,"The question does not refer to any image, figure, or exhibit and contains all necessary clinical information in the text."
292,no_figure,"The question contains all necessary clinical findings in the text, including echocardiography results, without referencing any external image or exhibit."
293,no_figure,"The question does not reference any external images, figures, or exhibits and can be answered entirely from the text."
294,no_figure,The question describes the microscopic findings in the text without referencing any external image or exhibit.
295,no_figure,The question contains all necessary clinical and diagnostic ultrasound findings described in the text without referencing any images or external exhibits.
296,no_figure,The question contains no reference to any images or exhibits and can be answered using clinical knowledge from the provided text.
297,no_figure,"The question contains all necessary clinical information, laboratory values, and CT scan findings in text form without referring to an external exhibit or image."
298,no_figure,The question describes the clinical and plain radiograph findings completely in the text without referencing any external image or exhibit.
299,no_figure,The question contains all necessary information to calculate the change in resistance using Poiseuille's law and does not reference any figure.
300,no_figure,The question presents all necessary clinical findings in the text without referring to any images or exhibits.
301,no_figure,"The question contains all necessary clinical, radiological, and histological findings in the text without referencing any external image or exhibit."
302,no_figure,The question contains all necessary clinical and laboratory information in the text without referencing any figures or exhibits.
303,no_figure,"The question presents all clinical findings, laboratory results, and imaging descriptions in the text without referencing any external image or exhibit."
304,no_figure,The question contains all necessary clinical information in the text and does not refer to any external figure or exhibit.
305,no_figure,The question contains all necessary clinical information to identify lactulose as the cause of diarrhea and improvement in hepatic encephalopathy without referring to any images or exhibits.
306,no_figure,The question contains all necessary clinical details within the text and does not mention or require an image.
